timestamp_ns,bid,ask,mid,spread,last_price,last_qty
0,9885,9913,9899,28,10096,5
100113758,9885,9913,9899,28,10096,5
200374942,9880,9913,9896,33,9880,29
300513310,9999,10147,10073,148,9913,1
400657986,9880,9977,9928,97,9999,34
500916653,10083,10147,10115,64,9977,1
601268619,10083,10147,10115,64,10083,74
701632261,10083,10126,10104,43,10083,74
801949772,10083,10126,10104,43,10083,20
902298431,10083,10147,10115,64,10147,8
1002497295,10083,10147,10115,64,10147,8
1102655073,10083,10104,10093,21,10147,8
1202840723,10083,10104,10093,21,10147,8
1302997813,10083,10104,10093,21,10147,8
1403243250,10032,10104,10068,72,10032,26
1503526803,10032,10104,10068,72,10032,26
1603661434,9973,10104,10038,131,9973,11
1703798678,9973,10104,10038,131,9973,11
1804027113,9973,10104,10038,131,9973,11
1904175709,10063,10104,10083,41,9973,11
2004358379,10063,10104,10083,41,10104,56
2104605368,10063,10104,10083,41,10104,56
2204768711,10063,10089,10076,26,10104,56
2304913604,10063,10089,10076,26,10104,56
2405051819,10063,10089,10076,26,10104,56
2505276964,9973,9992,9982,19,10063,43
2605383751,9973,9974,9973,1,10063,43
2705519842,9880,9974,9927,94,9880,18
2805633565,9880,9974,9927,94,9880,18
2905814661,9880,9974,9927,94,9974,55
3005983990,9880,9974,9927,94,9974,55
3106127965,9880,9974,9927,94,9974,55
3206268778,9880,10089,9984,209,10089,12
3306412874,9880,10070,9975,190,10089,12
3406636344,9880,10089,9984,209,10089,2
3506822124,9880,10021,9950,141,10089,2
3606958476,9880,9945,9912,65,10089,2
3707207208,9880,9945,9912,65,9945,27
3807479389,9880,9945,9912,65,9945,27
3907677616,9880,10107,9993,227,10107,23
4007834985,9880,9910,9895,30,10107,23
4108013725,9879,9910,9894,31,9879,4
4208203032,9879,9910,9894,31,9879,4
4308451386,9879,10035,9957,156,10035,12
4408597592,9879,10035,9957,156,10035,12
4508754533,9879,9996,9937,117,10035,12
4608907907,9879,9996,9937,117,10035,12
4709141495,9885,9996,9940,111,10035,12
4809367848,9885,9996,9940,111,10035,12
4909489847,9885,9996,9940,111,9996,30
5009636802,9931,9996,9963,65,9996,30
5109808929,9931,9937,9934,6,9996,30
5209964375,9885,9937,9911,52,9885,6
5310163632,9885,9937,9911,52,9885,6
5410432346,9885,9937,9911,52,9885,6
5510568288,9885,9937,9911,52,9937,80
5610720946,9885,9937,9911,52,9937,80
5710853897,9885,9937,9911,52,9937,80
5811016484,9885,9959,9922,74,9959,5
5911191759,9885,9959,9922,74,9959,25
6011338086,9885,9959,9922,74,9959,25
6111470793,9885,9959,9922,74,9959,25
6211602697,9885,9888,9886,3,9959,25
6311707880,9885,9888,9886,3,9959,25
6411873189,9886,9888,9887,2,9959,25
6512157087,9886,9888,9887,2,9959,25
6612513428,9886,9888,9887,2,9959,25
6712778561,9886,9888,9887,2,9959,25
6813062407,9886,9888,9887,2,9959,25
6913243594,9886,9888,9887,2,9959,25
7013361939,9886,9904,9895,18,9904,16
7113610043,9886,9904,9895,18,9904,16
7213880840,9886,9904,9895,18,9904,26
7314219407,9886,9964,9925,78,9964,64
7414379863,9886,9964,9925,78,9964,64
7514669981,9886,9979,9932,93,9979,49
7614995705,9886,9948,9917,62,9979,49
7715311170,9886,9948,9917,62,9979,49
7815625959,9886,9988,9937,102,9988,23
7915850297,9886,9988,9937,102,9988,23
8016026935,9886,9988,9937,102,9886,39
8116392381,9885,9988,9936,103,9885,27
8216586498,9885,9988,9936,103,9885,27
8316878583,9885,9988,9936,103,9885,27
8417089743,9885,9988,9936,103,9885,27
8517434546,9885,9988,9936,103,9988,15
8617622626,9885,9997,9941,112,9997,38
8717826501,9885,9997,9941,112,9997,38
8817991225,9885,9997,9941,112,9997,38
8918175802,9885,9997,9941,112,9997,38
9018382150,9885,9997,9941,112,9997,38
9118634626,9885,9997,9941,112,9885,36
9218829698,9879,9883,9881,4,9885,5
9319101903,9879,9883,9881,4,9885,5
9419386196,9872,9883,9877,11,9872,12
9519590111,9998,9999,9998,1,9997,36
9619901406,9998,9999,9998,1,9999,78
9720227009,9998,9999,9998,1,9999,78
9820626200,9998,9999,9998,1,9999,78
9920843469,9998,9999,9998,1,9999,78
10021037619,9937,9999,9968,62,9937,51
10121393348,9872,9999,9935,127,9872,2
10221584570,9916,9999,9957,83,9872,2
10321764424,9916,9999,9957,83,9872,2
10421955142,9916,9999,9957,83,9916,42
